"Now Shopping by",現在買い物をしている人
"Are you sure you want to strip tags?",本当にタグを外しますか？
"The template did not load. Please review the log for details.",テンプレートが読み込みませんでした。詳細はログをご覧ください。
"Thank you, %store_name","ありがとうございます, %store_name"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.",許可されるファイルの種類：jpg、jpeg、gif、png。高解像度ディスプレイ用のロゴを最適化するには、通常の3倍の画像をアップロードし、次に下記の幅/高さのフィールドに1xの寸法を指定します。
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","画像が上にアップロードされている場合のみ必要です。   ""px""を付けずにピクセル数を入力してください。"
"Logo Width",ロゴ幅
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","画像が上にアップロードされている場合のみ必要です。  ""px""を付加しないでイメージの高さのサイズをピクセル単位で入力してください。"
"Logo Height",ロゴ高さ
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","""デフォルト""オプションが選択されている場合、テーマフォールバックに基づいて選択された電子メールテンプレート。"
"Header Template",ヘッダーテンプレート
"Footer Template",フッターテンプレート
"We're sorry, an error has occurred while generating this email.",申し訳ありません、このメールを生成中に問題が発生しました。
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","許可ファイルの種類は jpg、jpeg、gif、png 形式です。高解像度のロゴを最適化するには、3x の通常サイズ画像をアップロードし、幅/高さ 1x 寸法フィールドを指定してください。"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","上記画像がアップロードされている場合にのみ必要です。後方に""Px""を除き、ピクセル数を入力します。"
"The design config needs an area and a store. Verify that both are set and try again.","デザインの設定には、エリアとストアが必要です。 両方が設定されていることを確認し、再度お試し下さい。"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.",高解像度ディスプレイ用のロゴを最適化するには、通常の3倍の画像をアップロードし、次に下記の幅/高さのフィールドに1倍のサイズを指定します。
